Study Name,Best Score,Parameters
stellarator_study_test,250.0417281171551,"{'boosting_type': 'gbdt', 'max_depth': 28, 'num_leaves': 218, 'min_data_in_leaf': 183, 'feature_fraction': 0.8597289506168069, 'learning_rate': 0.05415891117304222, 'num_iterations': 718, 'data_sample_strategy': 'bagging', 'max_bins': 828}"
stellarator_study_test,5.66650749652238,"{'boosting_type': 'dart', 'max_depth': 26, 'num_leaves': 254, 'min_data_in_leaf': 100, 'feature_fraction': 0.9981500402147306, 'learning_rate': 0.10433405411031996, 'num_iterations': 773, 'data_sample_strategy': 'bagging', 'max_bins': 57}"
stellarator_study_test,4.814979900617996,"{'boosting_type': 'dart', 'max_depth': 17, 'num_leaves': 255, 'min_data_in_leaf': 100, 'feature_fraction': 0.9998526102288696, 'learning_rate': 0.1964295709955985, 'num_iterations': 1936, 'data_sample_strategy': 'bagging', 'max_bins': 36}"
stellarator_study_test,0.5619731038029417,"{'boosting_type': 'dart', 'max_depth': 39, 'num_leaves': 374, 'min_data_in_leaf': 149, 'feature_fraction': 0.6278147060445098, 'learning_rate': 0.31193213225595134, 'num_iterations': 1790, 'data_sample_strategy': 'bagging', 'max_bins': 949}"
stellarator_study_test,0.2422313452025624,"{'boosting_type': 'dart', 'max_depth': 112, 'num_leaves': 1665, 'min_data_in_leaf': 50, 'feature_fraction': 0.996279867530332, 'learning_rate': 0.19209584533276572, 'num_iterations': 2853, 'data_sample_strategy': 'bagging', 'max_bins': 4062, 'tree_learner': 'feature'}"
