quasiisodynamic,errors_lgblss
-2.388039128689924,-0.6820559335659353
-1.7607898450121924,-2.0168636107220603
-5.104929737425124,-2.153234191560472
-6.305861621888851,-0.17376360317828787
-4.569414582802024,1.861518111778464
-5.057488534518177,-0.34942617648035856
-7.185341662644249,0.8085792725075303
-6.847019638215097,2.59681984344581
-5.378226522336658,1.0063583887917362
-3.8105825620845857,-0.7148195070072112
-3.1645777426698523,0.2851774893739538
-1.713369495551282,-0.45367895873338604
-6.334226766778123,2.9702049886714335
-1.7793505125145839,-2.4873364038367347
-4.153578123793996,-1.3629900601049298
-4.903339431650583,0.25795655048603194
-3.1109003871878316,0.5740141719778706
-2.3293432589027803,-0.025780499413259772
-2.7548468214158346,-0.025444497477598027
-1.7842085373808045,-1.377758740146051
-3.0388557915636953,0.3342103962847647
-2.7970093209638054,-1.9633361380205696
-2.544849856205378,-2.48954536169013
-6.387878702079077,2.2666848162758546
-7.571061644818853,0.8918290474677786
-4.871370753908016,0.9744910809038654
-6.233057386064997,0.034349805498591124
-3.8153783788014914,-1.4028733263681863
-6.092899071355433,-0.03625894866409851
-1.7888931110213178,-4.350569836824141
-3.954118792579837,-0.32752173705273124
-4.782570894564393,1.1343217452418832
-3.235304952413406,1.072838664800491
-1.2543068995842426,-1.2412768730750592
-7.3883744794587,1.4224874097565516
-6.1896431567022026,0.06644178646294474
-1.887311588492557,-3.4556511533592493
-2.629532827377049,-0.6744129524233662
-7.939119021691409,1.2352368042841828
-1.9932246416449249,-1.7927207738519013
-2.3339062796299777,-0.3892437352473417
-3.447840136168653,-0.8966828168647942
-5.467165455040332,0.6578535882800782
-3.4698178144765617,-0.9679968980478524
-3.4547466472039323,-1.0001955792059798
-6.928284100247127,0.22126047964165796
-6.9599048119409055,1.3663174134118528
-2.0733239065263795,-1.2010596383954955
-2.392402800803328,-1.737373677010393
-6.74881836637949,0.32653948530649224
-6.2007474041124135,1.2942389583726674
-8.127656975683143,1.0288286599482799
-3.6740462715773425,-0.12103033708049438
-1.1653924482812827,-3.266612003470426
-7.80218025033211,1.797913511440508
-7.979907774813511,1.3219678639248391
-4.285353758490922,-0.009397885643599224
-8.744048664388597,3.377748558340013
